"ISO-8601 date","Total visitor count"
2025-11-13T02:09:28+00:00,18019
2025-11-14T02:07:36+00:00,18113
2025-11-15T02:03:48+00:00,18235
2025-11-16T02:19:19+00:00,18349
2025-11-17T02:08:44+00:00,18495
2025-11-18T02:07:08+00:00,18650
2025-11-19T02:06:40+00:00,18807
2025-11-20T02:05:00+00:00,18985
2025-11-21T02:05:41+00:00,19200
2025-11-22T02:01:43+00:00,19365
2025-11-23T02:27:17+00:00,19585
2025-11-24T02:20:58+00:00,19736
2025-11-25T02:08:32+00:00,19891
2025-11-26T02:08:44+00:00,20040
2025-11-27T02:06:00+00:00,20171
2025-11-28T02:05:38+00:00,20321
2025-11-29T02:05:37+00:00,20482
2025-11-30T02:26:05+00:00,20636
2025-12-01T02:35:30+00:00,20794
2025-12-02T02:16:28+00:00,20978
2025-12-03T02:16:18+00:00,21177
2025-12-04T02:17:13+00:00,21298
2025-12-05T02:16:57+00:00,21428
2025-12-06T02:04:59+00:00,21552
2025-12-07T02:26:52+00:00,21659
2025-12-08T02:18:04+00:00,21782
2025-12-09T02:17:07+00:00,21898
2025-12-10T02:19:12+00:00,22129
2025-12-11T02:20:54+00:00,22274
2025-12-12T02:20:44+00:00,22393
2025-12-13T02:08:02+00:00,22532
2025-12-14T02:27:45+00:00,22725
2025-12-15T02:24:58+00:00,22857
2025-12-16T02:21:37+00:00,22962
2025-12-17T02:16:28+00:00,23084
2025-12-18T02:17:17+00:00,23207
2025-12-19T02:20:36+00:00,23336
2025-12-20T02:07:36+00:00,23474
2025-12-21T02:27:43+00:00,23639
2025-12-22T02:26:39+00:00,23758
2025-12-23T02:22:04+00:00,24081
2025-12-24T02:19:52+00:00,24393
2025-12-25T02:22:08+00:00,24650
2025-12-26T02:21:17+00:00,24823
2025-12-27T02:19:22+00:00,25054
2025-12-28T02:34:21+00:00,25253
2025-12-29T02:32:01+00:00,25431
2025-12-30T02:22:53+00:00,25571
2025-12-31T02:22:44+00:00,25759
2026-01-01T02:35:17+00:00,25919
2026-01-02T02:25:05+00:00,26142
2026-01-03T02:18:25+00:00,26379
2026-01-04T02:36:50+00:00,26542
2026-01-05T02:35:57+00:00,26716
2026-01-06T02:24:21+00:00,26945
2026-01-07T02:24:37+00:00,27146
2026-01-08T02:24:34+00:00,27358
2026-01-09T02:25:26+00:00,27499
2026-01-10T02:21:01+00:00,27666
2026-01-11T02:36:25+00:00,27822
2026-01-12T02:31:31+00:00,27969
2026-01-13T02:22:50+00:00,28107
2026-01-14T02:30:34+00:00,28292
2026-01-15T02:24:29+00:00,28544
2026-01-16T02:26:09+00:00,28686
2026-01-17T02:19:11+00:00,28864
2026-01-18T02:34:45+00:00,29049
2026-01-19T02:31:59+00:00,29231
2026-01-20T02:26:43+00:00,29411
2026-01-21T02:29:14+00:00,29615
2026-01-22T02:31:00+00:00,29807
2026-01-23T02:26:40+00:00,29949
2026-01-24T02:22:06+00:00,30117
2026-01-25T02:38:52+00:00,30257
2026-01-26T02:37:53+00:00,30370
2026-01-27T02:32:50+00:00,30505
2026-01-28T02:29:23+00:00,30638
2026-01-29T02:47:29+00:00,30808
2026-01-30T02:48:20+00:00,30910
2026-01-31T02:43:32+00:00,31062
2026-02-01T03:25:29+00:00,31184
2026-02-02T03:15:20+00:00,31298
2026-02-03T02:53:39+00:00,31439
2026-02-04T02:48:42+00:00,31540
2026-02-05T02:51:06+00:00,31638
2026-02-06T02:51:02+00:00,31746
2026-02-07T02:46:30+00:00,31897
2026-02-08T03:30:41+00:00,32006
2026-02-09T03:16:12+00:00,32171
2026-02-10T03:24:09+00:00,32343
2026-02-11T03:21:01+00:00,32502
2026-02-12T03:17:03+00:00,32688
2026-02-13T03:17:18+00:00,32824
2026-02-14T02:48:23+00:00,32993
2026-02-15T03:18:18+00:00,33133
2026-02-16T03:14:53+00:00,33292
2026-02-17T02:53:42+00:00,33461
2026-02-18T03:12:49+00:00,33619
2026-02-19T03:11:14+00:00,33771
2026-02-20T02:51:07+00:00,33889
2026-02-21T02:44:38+00:00,34147
2026-02-22T03:12:52+00:00,34346
2026-02-23T03:15:11+00:00,34473
